Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,City,State,Category,Sub-Category,Sales,Quantity,Discount,Profit
IND-10000,2021-06-25,2021-06-28,Standard Class,Vivek Yadav,Corporate,Ahmedabad,Gujarat,Office Supplies,Binders,1535.72,4,0.3,292.37
IND-10001,2021-07-16,2021-07-18,Same Day,Ritu Gupta,Consumer,Kanpur,Uttar Pradesh,Furniture,Chairs,3502.72,6,0.3,200.7
IND-10002,2022-06-22,2022-06-26,Second Class,Kiran Verma,Home Office,Nashik,Maharashtra,Furniture,Chairs,2133.33,5,0.1,709.54
IND-10003,2022-05-18,2022-05-19,Second Class,Anjali Pandey,Consumer,,West Bengal,Furniture,Chairs,2679.61,5,0.3,645.03
IND-10004,2022-08-03,2022-08-06,Second Class,Vikas Chatterjee,Home Office,Bhopal,Madhya Pradesh,Technology,Copiers,470.83,8,0.4,23.05
IND-10005,2021-07-31,2021-08-03,Standard Class,Nitin Kumar,Corporate,Coimbatore,Tamil Nadu,Furniture,Chairs,4657.42,9,0.2,472.54
IND-10006,2022-09-08,2022-09-09,Same Day,Sneha Agarwal,Consumer,Indore,Madhya Pradesh,Office Supplies,Storage,3573.87,3,0.0,1230.51
IND-10007,2021-12-15,2021-12-19,First Class,Arjun Saxena,Corporate,Mangalore,Karnataka,FURNITURE,Chairs,2453.48,3,0.2,47.97
IND-10008,2021-07-05,2021-07-07,Standard Class,Arjun Pandey,Consumer,Udaipur,Rajasthan,Technology,Phones,752.57,7,0.1,202.52
IND-10009,2022-02-03,2022-02-04,Standard Class,Suresh Bansal,Home Office,Ahmedabad,Gujarat,Office Supplies,Storage,713.77,8,0.4,125.2
IND-10010,2022-06-20,2022-06-22,Same Day,Kiran Jain,Consumer,Surat,Gujarat,Technology,Copiers,459.57,4,0.4,67.0
IND-10011,2022-08-08,2022-08-09,Standard Class,Anjali Chatterjee,Home Office,Nagpur,Maharashtra,Office Supplies,Binders,740.72,9,0.3,-35.57
IND-10012,2021-12-12,2021-12-14,First Class,Amit Jain,Corporate,Udaipur,Rajasthan,Technology,Machines,4473.96,7,0.2,517.8
IND-10013,2022-01-02,2022-01-05,Standard Class,Manish Agarwal,Consumer,Mangalore,Karnataka,Furniture,Furnishings,1235.91,2,0.2,203.07
IND-10014,2022-07-09,2022-07-11,Standard Class,Rohit Jain,Corporate,Coimbatore,Tamil Nadu,OFFICE SUPPLIES,Storage,1289.73,8,0.3,102.54
IND-10015,2023-01-01,2023-01-02,First Class,Ritu Tiwari,Home Office,Indore,Madhya Pradesh,Furniture,Furnishings,1440.0,8,0.3,346.08
IND-10016,2021-06-17,2021-06-18,Second Class,Ankit Joshi,Home Office,Kolkata,West Bengal,Furniture,Chairs,3649.89,1,0.2,150.88
IND-10017,2021-03-10,2021-03-12,Second Class,Neha Agarwal,Consumer,Chennai,Tamil Nadu,Office Supplies,Labels,558.16,1,0.0,66.51
IND-10018,2022-03-09,2022-03-12,First Class,Ankit Kapoor,Home Office,Mysuru,Karnataka,Technology,Copiers,2500.57,2,0.2,435.67
IND-10019,2023-06-15,2023-06-17,Same Day,Priya Mishra,Consumer,Agra,Uttar Pradesh,TECHNOLOGY,Machines,2797.63,9,0.4,19.16
IND-10020,2022-01-27,2022-01-30,Standard Class,Manish Jain,Consumer,Udaipur,Rajasthan,Furniture,Tables,4620.12,6,0.0,702.45
IND-10021,2022-05-28,2022-05-31,Standard Class,Amit Chatterjee,Consumer,Nagpur,Maharashtra,Technology,Phones,550.38,3,0.3,132.13
IND-10022,2021-03-17,2021-03-21,Standard Class,Suresh Kumar,Home Office,Bhopal,Madhya Pradesh,Office Supplies,Labels,"1,798.52",5,0.1,514.54
